  0.142079994       3.61335613E-02   4.23864052E-02 -0.172917604    
   14.4921598       2.41551185       2.77795251E-02  -6.21426268E-04
   14.6342392       2.43938494       2.77817082E-02  -1.34725077E-03
   14.7763195       2.46322250       2.77834479E-02   4.72383981E-04
   14.9183998       2.48703885       2.77849156E-02  -8.65997805E-04
   15.0604792       2.51101494       2.77881250E-02  -6.18819264E-04
   15.2025595       2.53539705       2.77957264E-02   7.21935648E-04
   15.3446398       2.55977416       2.78031304E-02  -2.00087181E-03
   15.4867191       2.58404088       2.78092120E-02   1.47470098E-03
   15.6287994       2.60838079       2.78159641E-02   1.85660308E-03
   15.7708797       2.63220239       2.78171171E-02  -1.37151487E-03
   15.9129591       2.65587473       2.78166868E-02  -9.15135199E-04
   16.0550385       2.67922282       2.78128982E-02   1.85493531E-03
   16.1971188       2.70290613       2.78126244E-02   1.86278985E-03
   16.3391991       2.72661686       2.78126337E-02  -8.18544777E-06
   16.4812794       2.75031543       2.78125182E-02  -2.65866751E-03
   16.6233597       2.77412367       2.78135072E-02   9.91164008E-04
   16.7654400       2.79824090       2.78175529E-02   5.92481403E-04
   16.9075184       2.82215023       2.78194789E-02  -6.01304462E-04
   17.0495987       2.84645009       2.78251916E-02   2.30317819E-03
   17.1916790       2.87075949       2.78309025E-02   2.87316288E-05
   17.3337593       2.89527941       2.78385412E-02   4.37769049E-05
   17.4758396       2.91970682       2.78451741E-02  -2.01626332E-03
   17.6179199       2.94426298       2.78529190E-02   2.15673281E-04
   17.7599983       2.96903229       2.78625432E-02   1.17385190E-03
   17.9020786       2.99380279       2.78720204E-02  -1.78729111E-04
   18.0441589       3.01825190       2.78783832E-02   7.95246859E-04
   18.1862392       3.04275107       2.78851055E-02  -2.43826071E-03
   18.3283195       3.06699586       2.78894082E-02  -3.59726313E-04
   18.4703999       3.09154654       2.78964043E-02  -2.44283706E-06
   18.6124802       3.11619592       2.79041789E-02   2.35606989E-04
   18.7545586       3.14097071       2.79129539E-02   1.78146409E-03
   18.8966389       3.16581225       2.79221795E-02   1.68457864E-05
   19.0387192       3.19086266       2.79331002E-02  -1.28793344E-03
   19.1807995       3.21554995       2.79407017E-02  -3.37024045E-04
   19.3228798       3.24019027       2.79477853E-02   7.94960069E-05
   19.4649601       3.26469207       2.79535800E-02   3.50719813E-04
   19.6070385       3.28894210       2.79571563E-02  -7.69576727E-05
   19.7491188       3.31330752       2.79616490E-02   1.92960491E-03
   19.8911991       3.33779454       2.79670954E-02  -1.36020081E-03
   20.0332794       3.36245894       2.79739425E-02  -2.10776529E-03
   20.1753597       3.38696551       2.79793907E-02  -1.80979876E-03
   20.3174400       3.41114569       2.79820822E-02   4.07094165E-04
   20.4595184       3.43530345       2.79845577E-02  -4.77138907E-04
   20.6015987       3.45923424       2.79851612E-02  -5.23667550E-04
   20.7436790       3.48292160       2.79837977E-02  -1.17030705E-03
   20.8857594       3.50626731       2.79797278E-02   2.26712483E-03
   21.0278397       3.52966738       2.79761460E-02  -1.08241837E-03
   21.1699200       3.55327487       2.79742442E-02   1.27454998E-03
   21.3119984       3.57661223       2.79702544E-02  -5.13583887E-04
   21.4540787       3.60008597       2.79673785E-02   1.22878654E-03
   21.5961590       3.62409472       2.79686674E-02  -1.20421615E-03
   21.7382393       3.64808583       2.79698037E-02  -3.10296076E-03
   21.8803196       3.67244720       2.79737469E-02   3.41460021E-04
   22.0223999       3.69678974       2.79774964E-02  -8.28057877E-04
   22.1644783       3.72073483       2.79782098E-02   2.73166853E-03
   22.3065586       3.74469757       2.79790461E-02   2.15398468E-04
   22.4486389       3.76889586       2.79816203E-02   1.05932401E-03
   22.5907192       3.79307628       2.79840305E-02   5.85599220E-04
   22.7327995       3.81756759       2.79886909E-02  -1.11641339E-03
   22.8748798       3.84207225       2.79933866E-02  -9.21253755E-04
   23.0169582       3.86689878       2.80003622E-02   3.15105682E-03
   23.1590385       3.89111471       2.80028526E-02  -3.14803416E-04
   23.3011189       3.91543865       2.80060843E-02  -1.03481708E-03
   23.4431992       3.93990326       2.80102789E-02   4.42397053E-04
   23.5852795       3.96456361       2.80158054E-02   5.34543884E-04
   23.7273598       3.98873115       2.80178022E-02  -8.90058873E-04
